,Q21,Q22,Q23,Q24,Q25,Q26,Q28,Q29,Q30,Q31,tweet,value
1965,26-30,Male,Bachelor's degree,Employee,Agree,Disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Very concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,2.0
1966,Above 60 years old,Male,Bachelor's degree,Retired,Disagree,Strongly agree,Disagree,Agree,Agree,Very concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,2.0
1967,31-40,Female,Bachelor's degree,Employee,Agree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Very concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,4.0
1968,51-60,Female,High school graduate with diploma,Employee,Agree,Agree,Neither agree nor disagree,Agree,Disagree,A little concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,2.0
1969,26-30,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Very concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,1.0
1970,18-25,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,A little concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,4.0
1971,31-40,Female,High school graduate with diploma,Self-employed,Agree,Disagree,Disagree,Disagree,Agree,Somewhat concerned,Wishing my twitter friends and relatives a very Happy New Year with tons of happiness  health .,4.0
1972,31-40,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Very concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",5.0
1973,51-60,Female,Master's degree,Employee,Agree,Agree,Agree,Agree,Agree,Somewhat concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",1.0
1974,26-30,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,A little concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",4.0
1975,31-40,Male,Master's degree,Employee,Agree,Neither agree nor disagree,Agree,Agree,Agree,Not at all concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",4.0
1976,51-60,Male,Master's degree,Employee,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Very concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",3.0
1977,18-25,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",2.0
1978,31-40,Female,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Very concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",2.0
1979,31-40,Female,Master's degree,Employee,Neither agree nor disagree,Strongly agree,Disagree,Disagree,Agree,Very concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",2.0
1980,26-30,Female,High school graduate with diploma,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",2.0
1981,51-60,Female,Master's degree,Employee,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Very concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",3.0
1982,41-50,Male,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Agree,Agree,Very concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",1.0
1983,41-50,Female,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",3.0
1984,51-60,Female,Master's degree,Employee,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,A little concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",3.0
1985,31-40,Female,Master's degree,Self-employed,Agree,Agree,Agree,Agree,Agree,A little concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",4.0
1986,Above 60 years old,Female,Master's degree,Self-employed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not at all concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",1.0
1987,26-30,Female,High school graduate with diploma,Employee,Agree,Disagree,Agree,Neither agree nor disagree,Agree,A little concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",4.0
1988,31-40,Male,Bachelor's degree,Employee,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Very concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",4.0
1989,41-50,Female,Master's degree,Employee,Strongly agree,Agree,Strongly Disagree,Disagree,Disagree,Very concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",3.0
1990,31-40,Male,Bachelor's degree,Employee,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",2.0
1991,41-50,Female,Master's degree,Employee,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat concerned," Happy New Year, dear, Elinor forget all the bad things that happened in the past year May your life be more pleasant in the New Year I wish you and your family health I wish you luck in all your endeavors I will support them, be sure .",2.0
1992,51-60,Male,Master's degree,Employee,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat concerned,"No paywall on the article if you want to read it. Conservatively using the 1 year later significantly worsening health numbers, 135 million people in the US alone will never fully recover from the everyone will get it eventually plan. Depending on the breaks. .",4.0
1993,31-40,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Neither agree nor disagree,Agree,A little concerned,"No paywall on the article if you want to read it. Conservatively using the 1 year later significantly worsening health numbers, 135 million people in the US alone will never fully recover from the everyone will get it eventually plan. Depending on the breaks. .",5.0
1994,26-30,Male,Bachelor's degree,Employee,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat concerned,"No paywall on the article if you want to read it. Conservatively using the 1 year later significantly worsening health numbers, 135 million people in the US alone will never fully recover from the everyone will get it eventually plan. Depending on the breaks. .",4.0
